Race Type,Race Number,Race Name,Venue,Race Time
Saddle Trotting,9,Immortal Fiends,"Ladbrokes Park, Melbourne, Victoria (formerly Sandown Racecourse)",12.10
Saddle Trotting,7,Immortal Fiends,"Doomben Racecourse, Brisbane, Queensland",12.11
Jump racing,2,Forest Angels,"Wangaratta Racecourse, Wangaratta, Victoria",12.11
Saddle Trotting,22,Shore Undine,"Warrnambool Racecourse, Warrnambool, Victoria",12.12
Harness racing,18,Immortal Fiends,"Wyong Race Club, Wyong, New South Wales",12.14
Harness racing,21,Autumn Nymphs,"Hamilton Racecourse, Hamilton, Victoria",12.15
Flat racing,2,Autumn Nymphs,"Clare Valley Racecourse, Clare, South Australia",12.17
Jump racing,13,Feral Oceanids,"Hawkesbury Race Club, Richmond, New South Wales",12.17
Jump racing,10,Immortal Fiends,"Thoroughbred Park (Canberra Racecourse), Canberra, Australian Capital Territory",12.17
Saddle Trotting,6,Forlorn Orcs,"Geelong Racecourse, Geelong, Victoria",12.17
Harness racing,12,Forest Angels,"Thoroughbred Park (Canberra Racecourse), Canberra, Australian Capital Territory",12.18
Flat racing,5,Sanguine Ghouls,"Callaghan Park, Rockhampton, Queensland",12.20
Endurance racing,19,Shore Undine,"Clare Valley Racecourse, Clare, South Australia",12.21
Saddle Trotting,25,Immortal Fiends,"Flemington Racecourse, Melbourne, Victoria",12.25
Jump racing,13,Sanguine Ghouls,"Geelong Racecourse, Geelong, Victoria",12.32
Flat racing,21,Sanguine Ghouls,"Tamworth Jockey Club, Tamworth, New South Wales[4]",12.38
Saddle Trotting,25,Autumn Nymphs,"Hamilton Racecourse, Hamilton, Victoria",12.39
Endurance racing,1,Sanguine Ghouls,"Camperdown Racecourse, Camperdown, Victoria",12.40
Endurance racing,20,Forlorn Orcs,"Ballarat Turf Club, Ballarat, Victoria",12.40
Saddle Trotting,5,Arachnid Fairies,"Seymour Racing Club, Seymour, Victoria",12.41
Flat racing,4,Copper Goblins,"Newcastle Jockey Club, Newcastle, New South Wales",12.42
Flat racing,25,Immortal Fiends,"Clare Valley Racecourse, Clare, South Australia",12.42
Harness racing,12,Copper Goblins,"Terang Racecourse, Terang, Victoria",12.43
Harness racing,19,Forlorn Orcs,"Randwick Racecourse, Sydney, New South Wales",12.46
Jump racing,5,Feral Oceanids,"Ladbrokes Park, Melbourne, Victoria (formerly Sandown Racecourse)",12.48
Saddle Trotting,16,Shore Undine,"Callaghan Park, Rockhampton, Queensland",12.50
Endurance racing,1,Copper Goblins,"Ladbrokes Park, Melbourne, Victoria (formerly Sandown Racecourse)",12.50
Endurance racing,1,Autumn Nymphs,"Dingo Racecourse, Dingo, Queensland",12.50
Harness racing,21,Forlorn Orcs,"Ascot Racecourse, Perth, Western Australia",12.51
Flat racing,12,Feral Oceanids,"Shoalhaven City Turf Club, Nowra, New South Wales",12.52
Endurance racing,8,Sanguine Ghouls,"Shoalhaven City Turf Club, Nowra, New South Wales",12.52
Flat racing,14,Autumn Nymphs,"Clare Valley Racecourse, Clare, South Australia",12.53
Saddle Trotting,8,Arachnid Fairies,"Seymour Racing Club, Seymour, Victoria",12.55
Jump racing,25,Autumn Nymphs,"Eagle Farm Racecourse, Brisbane, Queensland",12.59
Saddle Trotting,8,Arachnid Fairies,"Thoroughbred Park (Canberra Racecourse), Canberra, Australian Capital Territory",12.90
Harness racing,25,Broken Gorgons,"Cranbourne Racecourse, Cranbourne, Victoria",13.10
Harness racing,24,Forest Angels,"Callaghan Park, Rockhampton, Queensland",13.10
Harness racing,6,Shore Undine,"Canterbury Park Racecourse, Sydney, New South Wales",13.12
Jump racing,25,Feral Oceanids,"Shoalhaven City Turf Club, Nowra, New South Wales",13.14
Jump racing,2,Feral Oceanids,"Wangaratta Racecourse, Wangaratta, Victoria",13.16
Jump racing,20,Sanguine Ghouls,"Seymour Racing Club, Seymour, Victoria",13.18
Flat racing,7,Sanguine Ghouls,"Moonee Valley Racecourse, Melbourne, Victoria",13.20
Flat racing,2,Forest Angels,"Warwick Farm racecourse, Sydney, New South Wales",13.21
Saddle Trotting,14,Immortal Fiends,"Shoalhaven City Turf Club, Nowra, New South Wales",13.22
Jump racing,24,Forlorn Orcs,"The Entertainment Grounds, Gosford, New South Wales (formerly Gosford Race Club)",13.22
Endurance racing,17,Forest Angels,"Kembla Grange Racecourse, Wollongong, New South Wales[3]",13.26
Jump racing,7,Immortal Fiends,"Warwick Farm racecourse, Sydney, New South Wales",13.26
Endurance racing,21,Autumn Nymphs,"Lismore Turf Club, Lismore, New South Wales",13.30
Flat racing,6,Sanguine Ghouls,"Morphettville Racecourse, Adelaide, South Australia",13.31
Flat racing,24,Forest Angels,"Wagga Racecourse, Wagga Wagga, New South Wales[5]",13.34
Saddle Trotting,9,Shore Undine,"Warrnambool Racecourse, Warrnambool, Victoria",13.38
Saddle Trotting,22,Feral Oceanids,"Armidale Jockey Club, Armidale, New South Wales[2]",13.40
Saddle Trotting,24,Feral Oceanids,"Warrnambool Racecourse, Warrnambool, Victoria",13.40
Flat racing,15,Feral Oceanids,"Wagga Racecourse, Wagga Wagga, New South Wales[5]",13.44
Endurance racing,20,Forlorn Orcs,"Moonee Valley Racecourse, Melbourne, Victoria",13.45
Harness racing,15,Immortal Fiends,"Cluden Racecourse, Townsville, Queensland",13.48
Harness racing,3,Autumn Nymphs,"Moonee Valley Racecourse, Melbourne, Victoria",13.49
Endurance racing,16,Forlorn Orcs,"Thoroughbred Park (Canberra Racecourse), Canberra, Australian Capital Territory",13.49
Jump racing,15,Sanguine Ghouls,"Terang Racecourse, Terang, Victoria",13.50
Saddle Trotting,24,Arachnid Fairies,"Hawkesbury Race Club, Richmond, New South Wales",13.51
Flat racing,14,Copper Goblins,"Camperdown Racecourse, Camperdown, Victoria",13.52
Endurance racing,22,Immortal Fiends,"Mornington Racecourse, Mornington, Victoria",13.52
Harness racing,25,Feral Oceanids,"Morphettville Racecourse, Adelaide, South Australia",13.53
Endurance racing,17,Autumn Nymphs,"Randwick Racecourse, Sydney, New South Wales",13.53
Flat racing,18,Forest Angels,"Mornington Racecourse, Mornington, Victoria",13.54
Endurance racing,19,Forest Angels,"Thoroughbred Park (Canberra Racecourse), Canberra, Australian Capital Territory",13.55
Harness racing,18,Immortal Fiends,"Shoalhaven City Turf Club, Nowra, New South Wales",13.56
Flat racing,12,Arachnid Fairies,"Flemington Racecourse, Melbourne, Victoria",13.59
Flat racing,9,Copper Goblins,"Tamworth Jockey Club, Tamworth, New South Wales[4]",13.60
Jump racing,8,Copper Goblins,"Mornington Racecourse, Mornington, Victoria",13.60
Harness racing,2,Feral Oceanids,"Wangaratta Racecourse, Wangaratta, Victoria",13.70
Harness racing,9,Sanguine Ghouls,"Caulfield Racecourse, Melbourne, Victoria",13.80
Harness racing,23,Sanguine Ghouls,"Ascot Racecourse, Perth, Western Australia",13.80
Flat racing,16,Sanguine Ghouls,"Camperdown Racecourse, Camperdown, Victoria",13.80
Harness racing,16,Autumn Nymphs,"Ballarat Turf Club, Ballarat, Victoria",14.12
Flat racing,5,Shore Undine,"Newcastle Jockey Club, Newcastle, New South Wales",14.15
Saddle Trotting,19,Forlorn Orcs,"Newcastle Jockey Club, Newcastle, New South Wales",14.18
Endurance racing,4,Arachnid Fairies,"Kembla Grange Racecourse, Wollongong, New South Wales[3]",14.20
Jump racing,9,Shore Undine,"Sunshine Coast Turf Club, Caloundra, Queensland",14.20
Saddle Trotting,6,Autumn Nymphs,"Newcastle Jockey Club, Newcastle, New South Wales",14.25
Saddle Trotting,8,Forlorn Orcs,"Clare Valley Racecourse, Clare, South Australia",14.25
Jump racing,11,Forest Angels,"The Entertainment Grounds, Gosford, New South Wales (formerly Gosford Race Club)",14.25
Harness racing,13,Copper Goblins,"Wangaratta Racecourse, Wangaratta, Victoria",14.27
Jump racing,10,Copper Goblins,"Shoalhaven City Turf Club, Nowra, New South Wales",14.28
Flat racing,6,Shore Undine,"Geelong Racecourse, Geelong, Victoria",14.31
Harness racing,5,Forlorn Orcs,"Kembla Grange Racecourse, Wollongong, New South Wales[3]",14.33
Jump racing,10,Copper Goblins,"Kembla Grange Racecourse, Wollongong, New South Wales[3]",14.33
Jump racing,2,Shore Undine,"Warwick Farm racecourse, Sydney, New South Wales",14.36
Flat racing,8,Autumn Nymphs,"Thoroughbred Park (Canberra Racecourse), Canberra, Australian Capital Territory",14.38
Endurance racing,20,Shore Undine,"Mornington Racecourse, Mornington, Victoria",14.39
Endurance racing,15,Immortal Fiends,"Geelong Racecourse, Geelong, Victoria",14.39
Jump racing,13,Shore Undine,"Albury Racing club, Albury, New South Wales",14.39
Endurance racing,10,Arachnid Fairies,"Cranbourne Racecourse, Cranbourne, Victoria",14.40
Harness racing,1,Shore Undine,"The Entertainment Grounds, Gosford, New South Wales (formerly Gosford Race Club)",14.40
Jump racing,15,Immortal Fiends,"Ascot Racecourse, Perth, Western Australia",14.40
Endurance racing,13,Copper Goblins,"Camperdown Racecourse, Camperdown, Victoria",14.40
Jump racing,3,Immortal Fiends,"Ascot Racecourse, Perth, Western Australia",14.40
Harness racing,12,Copper Goblins,"Balnarring Racecourse, Balnarring, Victoria",14.43
Jump racing,8,Arachnid Fairies,"Thoroughbred Park (Canberra Racecourse), Canberra, Australian Capital Territory",14.45
Jump racing,3,Feral Oceanids,"Clare Valley Racecourse, Clare, South Australia",14.46
Jump racing,6,Shore Undine,"Sale Racecourse, Sale, Victoria",14.46
Saddle Trotting,18,Feral Oceanids,"Caulfield Racecourse, Melbourne, Victoria",14.47
Jump racing,6,Shore Undine,"Shoalhaven City Turf Club, Nowra, New South Wales",14.47
Endurance racing,22,Feral Oceanids,"Tamworth Jockey Club, Tamworth, New South Wales[4]",14.47
Jump racing,15,Arachnid Fairies,"Ladbrokes Park, Melbourne, Victoria (formerly Sandown Racecourse)",14.49
Jump racing,5,Immortal Fiends,"Hamilton Racecourse, Hamilton, Victoria",14.52
Jump racing,11,Immortal Fiends,"Kembla Grange Racecourse, Wollongong, New South Wales[3]",14.53
Harness racing,23,Immortal Fiends,"Randwick Racecourse, Sydney, New South Wales",14.55
Flat racing,22,Forest Angels,"Morphettville Racecourse, Adelaide, South Australia",14.56
Harness racing,9,Copper Goblins,"Wagga Racecourse, Wagga Wagga, New South Wales[5]",14.56
Jump racing,19,Broken Gorgons,"Caulfield Racecourse, Melbourne, Victoria",14.70
Harness racing,16,Shore Undine,"Mornington Racecourse, Mornington, Victoria",14.80
Saddle Trotting,5,Immortal Fiends,"Warrnambool Racecourse, Warrnambool, Victoria",15.13
Saddle Trotting,13,Copper Goblins,"Canterbury Park Racecourse, Sydney, New South Wales",15.13
Flat racing,1,Shore Undine,"Wyong Race Club, Wyong, New South Wales",15.13
Harness racing,11,Sanguine Ghouls,"Morphettville Racecourse, Adelaide, South Australia",15.14
Jump racing,16,Shore Undine,"Clifford Park Racecourse, Toowoomba, Queensland",15.15
Endurance racing,13,Forlorn Orcs,"Hamilton Racecourse, Hamilton, Victoria",15.15
Flat racing,17,Autumn Nymphs,"Seymour Racing Club, Seymour, Victoria",15.16
Jump racing,4,Forest Angels,"Walcha Jockey Club, Walcha, New South Wales[6]",15.18
Endurance racing,1,Forlorn Orcs,"Cluden Racecourse, Townsville, Queensland",15.20
Jump racing,4,Feral Oceanids,"Moonee Valley Racecourse, Melbourne, Victoria",15.20
Jump racing,13,Immortal Fiends,"Camperdown Racecourse, Camperdown, Victoria",15.24
Endurance racing,2,Broken Gorgons,"Shoalhaven City Turf Club, Nowra, New South Wales",15.24
Jump racing,24,Forlorn Orcs,"Ballarat Turf Club, Ballarat, Victoria",15.24
Harness racing,9,Arachnid Fairies,"Kalgoorlie-Boulder Racing Club, Kalgoorlie, Western Australia",15.25
Endurance racing,15,Feral Oceanids,"Traralgon Racecourse, Traralgon, Victoria",15.26
Flat racing,13,Shore Undine,"Flemington Racecourse, Melbourne, Victoria",15.28
Harness racing,20,Copper Goblins,"Terang Racecourse, Terang, Victoria",15.35
Saddle Trotting,3,Autumn Nymphs,"Ascot Racecourse, Perth, Western Australia",15.35
Saddle Trotting,15,Forlorn Orcs,"Wyong Race Club, Wyong, New South Wales",15.38
Jump racing,23,Arachnid Fairies,"Armidale Jockey Club, Armidale, New South Wales[2]",15.40
Endurance racing,7,Shore Undine,"The Entertainment Grounds, Gosford, New South Wales (formerly Gosford Race Club)",15.40
Endurance racing,21,Immortal Fiends,"Callaghan Park, Rockhampton, Queensland",15.42
Saddle Trotting,8,Broken Gorgons,"Bairnsdale Racecourse, Bairnsdale, Victoria",15.43
Harness racing,16,Forlorn Orcs,"Ladbrokes Park, Melbourne, Victoria (formerly Sandown Racecourse)",15.45
Harness racing,5,Copper Goblins,"Kalgoorlie-Boulder Racing Club, Kalgoorlie, Western Australia",15.47
Endurance racing,24,Forlorn Orcs,"Terang Racecourse, Terang, Victoria",15.47
Flat racing,2,Forest Angels,"Shoalhaven City Turf Club, Nowra, New South Wales",15.47
Saddle Trotting,22,Autumn Nymphs,"Doomben Racecourse, Brisbane, Queensland",15.48
Endurance racing,20,Sanguine Ghouls,"Newcastle Jockey Club, Newcastle, New South Wales",15.48
Jump racing,6,Arachnid Fairies,"Camperdown Racecourse, Camperdown, Victoria",15.50
Endurance racing,2,Forlorn Orcs,"Wangaratta Racecourse, Wangaratta, Victoria",15.50
Jump racing,2,Immortal Fiends,"Eagle Farm Racecourse, Brisbane, Queensland",15.50
Flat racing,10,Shore Undine,"Morphettville Racecourse, Adelaide, South Australia",15.51
Saddle Trotting,23,Arachnid Fairies,"Ladbrokes Park, Melbourne, Victoria (formerly Sandown Racecourse)",15.52
Saddle Trotting,1,Sanguine Ghouls,"Mornington Racecourse, Mornington, Victoria",15.52
Saddle Trotting,8,Immortal Fiends,"Doomben Racecourse, Brisbane, Queensland",15.54
Flat racing,11,Broken Gorgons,"Hawkesbury Race Club, Richmond, New South Wales",15.58
Saddle Trotting,11,Copper Goblins,"Sunshine Coast Turf Club, Caloundra, Queensland",15.58
Flat racing,3,Sanguine Ghouls,"Flemington Racecourse, Melbourne, Victoria",15.59
Harness racing,15,Sanguine Ghouls,"Caulfield Racecourse, Melbourne, Victoria",15.70
Jump racing,25,Copper Goblins,"Bendigo Racecourse, Bendigo, Victoria",15.80
Endurance racing,16,Broken Gorgons,"Clare Valley Racecourse, Clare, South Australia",15.90
Jump racing,3,Shore Undine,"Randwick Racecourse, Sydney, New South Wales",15.90
Flat racing,2,Immortal Fiends,"Canterbury Park Racecourse, Sydney, New South Wales",16.10
Saddle Trotting,16,Broken Gorgons,"Canterbury Park Racecourse, Sydney, New South Wales",16.10
Harness racing,9,Forlorn Orcs,"Callaghan Park, Rockhampton, Queensland",16.10
Jump racing,12,Forlorn Orcs,"Rosehill Gardens Racecourse, Sydney, New South Wales",16.10
Endurance racing,22,Feral Oceanids,"Traralgon Racecourse, Traralgon, Victoria",16.14
Jump racing,6,Shore Undine,"Moonee Valley Racecourse, Melbourne, Victoria",16.16
Endurance racing,15,Feral Oceanids,"Armidale Jockey Club, Armidale, New South Wales[2]",16.17
Endurance racing,3,Arachnid Fairies,"Wagga Racecourse, Wagga Wagga, New South Wales[5]",16.20
Saddle Trotting,13,Copper Goblins,"Mornington Racecourse, Mornington, Victoria",16.24
Harness racing,7,Shore Undine,"Wyong Race Club, Wyong, New South Wales",16.25
Saddle Trotting,14,Forlorn Orcs,"Randwick Racecourse, Sydney, New South Wales",16.26
Endurance racing,9,Arachnid Fairies,"Mornington Racecourse, Mornington, Victoria",16.27
Endurance racing,12,Sanguine Ghouls,"Shoalhaven City Turf Club, Nowra, New South Wales",16.28
Jump racing,21,Feral Oceanids,"Cluden Racecourse, Townsville, Queensland",16.32
Endurance racing,24,Copper Goblins,"Wyong Race Club, Wyong, New South Wales",16.32
Flat racing,17,Autumn Nymphs,"Mornington Racecourse, Mornington, Victoria",16.32
Jump racing,16,Shore Undine,"Dingo Racecourse, Dingo, Queensland",16.34
Flat racing,2,Shore Undine,"Belmont Park Racecourse, Perth, Western Australia",16.36
Jump racing,22,Sanguine Ghouls,"Hawkesbury Race Club, Richmond, New South Wales",16.38
Flat racing,2,Feral Oceanids,"Traralgon Racecourse, Traralgon, Victoria",16.39
Endurance racing,8,Autumn Nymphs,"Ballarat Turf Club, Ballarat, Victoria",16.42
Jump racing,16,Autumn Nymphs,"Newcastle Jockey Club, Newcastle, New South Wales",16.43
Jump racing,17,Shore Undine,"Newcastle Jockey Club, Newcastle, New South Wales",16.45
Saddle Trotting,25,Arachnid Fairies,"Cranbourne Racecourse, Cranbourne, Victoria",16.45
Flat racing,19,Forlorn Orcs,"Flemington Racecourse, Melbourne, Victoria",16.45
Jump racing,9,Forlorn Orcs,"Walcha Jockey Club, Walcha, New South Wales[6]",16.47
Endurance racing,10,Sanguine Ghouls,"Lismore Turf Club, Lismore, New South Wales",16.49
Harness racing,1,Copper Goblins,"Ladbrokes Park, Melbourne, Victoria (formerly Sandown Racecourse)",16.50
Endurance racing,3,Arachnid Fairies,"Geelong Racecourse, Geelong, Victoria",16.50
Endurance racing,15,Forlorn Orcs,"Eagle Farm Racecourse, Brisbane, Queensland",16.57
Saddle Trotting,18,Forlorn Orcs,"Randwick Racecourse, Sydney, New South Wales",16.59
Endurance racing,22,Immortal Fiends,"Traralgon Racecourse, Traralgon, Victoria",16.60
Harness racing,12,Feral Oceanids,"Morphettville Racecourse, Adelaide, South Australia",16.60
Endurance racing,14,Shore Undine,"Flemington Racecourse, Melbourne, Victoria",16.80
Saddle Trotting,3,Copper Goblins,"Wangaratta Racecourse, Wangaratta, Victoria",16.90
Jump racing,6,Forest Angels,"Flemington Racecourse, Melbourne, Victoria",17.12
Flat racing,19,Forest Angels,"Armidale Jockey Club, Armidale, New South Wales[2]",17.14
Endurance racing,5,Sanguine Ghouls,"Flemington Racecourse, Melbourne, Victoria",17.16
Saddle Trotting,1,Broken Gorgons,"Morphettville Racecourse, Adelaide, South Australia",17.20
Jump racing,17,Forlorn Orcs,"Kalgoorlie-Boulder Racing Club, Kalgoorlie, Western Australia",17.26
Flat racing,16,Immortal Fiends,"Terang Racecourse, Terang, Victoria",17.27
Flat racing,17,Forest Angels,"Hamilton Racecourse, Hamilton, Victoria",17.27
Saddle Trotting,24,Arachnid Fairies,"Armidale Jockey Club, Armidale, New South Wales[2]",17.29
Jump racing,14,Sanguine Ghouls,"Albury Racing club, Albury, New South Wales",17.30
Endurance racing,7,Feral Oceanids,"Ladbrokes Park, Melbourne, Victoria (formerly Sandown Racecourse)",17.33
Jump racing,20,Arachnid Fairies,"Hamilton Racecourse, Hamilton, Victoria",17.36
Flat racing,14,Autumn Nymphs,"Terang Racecourse, Terang, Victoria",17.36
Endurance racing,4,Autumn Nymphs,"Doomben Racecourse, Brisbane, Queensland",17.38
Endurance racing,19,Feral Oceanids,"Cluden Racecourse, Townsville, Queensland",17.40
Harness racing,9,Sanguine Ghouls,"Cranbourne Racecourse, Cranbourne, Victoria",17.40
Jump racing,21,Arachnid Fairies,"Thoroughbred Park (Canberra Racecourse), Canberra, Australian Capital Territory",17.42
Endurance racing,1,Copper Goblins,"Ladbrokes Park, Melbourne, Victoria (formerly Sandown Racecourse)",17.42
Jump racing,18,Copper Goblins,"Albury Racing club, Albury, New South Wales",17.44
Flat racing,9,Forest Angels,"Cluden Racecourse, Townsville, Queensland",17.49
Jump racing,18,Immortal Fiends,"Callaghan Park, Rockhampton, Queensland",17.49
Jump racing,22,Autumn Nymphs,"Cranbourne Racecourse, Cranbourne, Victoria",17.49
Endurance racing,22,Arachnid Fairies,"Ladbrokes Park, Melbourne, Victoria (formerly Sandown Racecourse)",17.52
Saddle Trotting,3,Shore Undine,"Caulfield Racecourse, Melbourne, Victoria",17.52
Endurance racing,2,Forest Angels,"Seymour Racing Club, Seymour, Victoria",17.56
Saddle Trotting,11,Immortal Fiends,"Eagle Farm Racecourse, Brisbane, Queensland",17.56
Harness racing,17,Copper Goblins,"Randwick Racecourse, Sydney, New South Wales",17.57
Harness racing,2,Broken Gorgons,"Wagga Racecourse, Wagga Wagga, New South Wales[5]",17.60
Harness racing,18,Autumn Nymphs,"Thoroughbred Park (Canberra Racecourse), Canberra, Australian Capital Territory",18.10
Saddle Trotting,8,Forest Angels,"Hamilton Racecourse, Hamilton, Victoria",18.10
Harness racing,11,Immortal Fiends,"Traralgon Racecourse, Traralgon, Victoria",18.10
Harness racing,19,Autumn Nymphs,"Morphettville Racecourse, Adelaide, South Australia",18.11
Harness racing,16,Forlorn Orcs,"Cluden Racecourse, Townsville, Queensland",18.13
Flat racing,15,Arachnid Fairies,"Cluden Racecourse, Townsville, Queensland",18.17
Flat racing,15,Forlorn Orcs,"Caulfield Racecourse, Melbourne, Victoria",18.20
Saddle Trotting,19,Forest Angels,"Callaghan Park, Rockhampton, Queensland",18.20
Flat racing,4,Broken Gorgons,"The Entertainment Grounds, Gosford, New South Wales (formerly Gosford Race Club)",18.23
