Race Type,Race Number,Race Name,Venue,Race Time
Flat racing,21,Feral Oceanids,"Cranbourne Racecourse, Cranbourne, Victoria",18.23
Jump racing,9,Feral Oceanids,"Rosehill Gardens Racecourse, Sydney, New South Wales",18.25
Saddle Trotting,17,Shore Undine,"Lismore Turf Club, Lismore, New South Wales",18.27
Harness racing,16,Feral Oceanids,"Cluden Racecourse, Townsville, Queensland",18.27
Endurance racing,14,Copper Goblins,"Armidale Jockey Club, Armidale, New South Wales[2]",18.28
Flat racing,3,Forlorn Orcs,"Dingo Racecourse, Dingo, Queensland",18.29
Harness racing,24,Autumn Nymphs,"Canterbury Park Racecourse, Sydney, New South Wales",18.30
Harness racing,19,Broken Gorgons,"Albury Racing club, Albury, New South Wales",18.32
Harness racing,18,Copper Goblins,"Caulfield Racecourse, Melbourne, Victoria",18.32
Jump racing,11,Copper Goblins,"Sunshine Coast Turf Club, Caloundra, Queensland",18.34
Jump racing,2,Sanguine Ghouls,"Flemington Racecourse, Melbourne, Victoria",18.35
Jump racing,17,Arachnid Fairies,"Rosehill Gardens Racecourse, Sydney, New South Wales",18.35
Flat racing,18,Autumn Nymphs,"Callaghan Park, Rockhampton, Queensland",18.39
Flat racing,16,Forest Angels,"Cranbourne Racecourse, Cranbourne, Victoria",18.41
Endurance racing,21,Feral Oceanids,"Wyong Race Club, Wyong, New South Wales",18.42
Saddle Trotting,9,Forlorn Orcs,"Belmont Park Racecourse, Perth, Western Australia",18.43
Harness racing,15,Forest Angels,"Geelong Racecourse, Geelong, Victoria",18.44
Jump racing,16,Broken Gorgons,"Belmont Park Racecourse, Perth, Western Australia",18.46
Flat racing,7,Autumn Nymphs,"Ladbrokes Park, Melbourne, Victoria (formerly Sandown Racecourse)",18.49
Harness racing,23,Forlorn Orcs,"Bendigo Racecourse, Bendigo, Victoria",18.50
Jump racing,20,Broken Gorgons,"Callaghan Park, Rockhampton, Queensland",18.50
Harness racing,2,Autumn Nymphs,"Seymour Racing Club, Seymour, Victoria",18.50
Endurance racing,15,Sanguine Ghouls,"Seymour Racing Club, Seymour, Victoria",18.53
Flat racing,15,Autumn Nymphs,"Dingo Racecourse, Dingo, Queensland",18.53
Jump racing,20,Immortal Fiends,"Kalgoorlie-Boulder Racing Club, Kalgoorlie, Western Australia",18.54
Saddle Trotting,12,Forlorn Orcs,"Kembla Grange Racecourse, Wollongong, New South Wales[3]",18.56
Jump racing,20,Shore Undine,"Albury Racing club, Albury, New South Wales",18.56
Endurance racing,24,Broken Gorgons,"Callaghan Park, Rockhampton, Queensland",18.58
Flat racing,2,Arachnid Fairies,"Geelong Racecourse, Geelong, Victoria",18.58
Saddle Trotting,10,Autumn Nymphs,"Doomben Racecourse, Brisbane, Queensland",18.59
Harness racing,5,Shore Undine,"Bendigo Racecourse, Bendigo, Victoria",18.59
Saddle Trotting,7,Forlorn Orcs,"Kalgoorlie-Boulder Racing Club, Kalgoorlie, Western Australia",18.60
Saddle Trotting,4,Shore Undine,"Kembla Grange Racecourse, Wollongong, New South Wales[3]",18.60
Endurance racing,6,Arachnid Fairies,"Sale Racecourse, Sale, Victoria",18.70
Saddle Trotting,8,Forest Angels,"Caulfield Racecourse, Melbourne, Victoria",18.70
Endurance racing,17,Forlorn Orcs,"Cranbourne Racecourse, Cranbourne, Victoria",18.80
Flat racing,20,Sanguine Ghouls,"Terang Racecourse, Terang, Victoria",18.90
Flat racing,9,Arachnid Fairies,"Cranbourne Racecourse, Cranbourne, Victoria",19.10
Harness racing,2,Forlorn Orcs,"Newcastle Jockey Club, Newcastle, New South Wales",19.11
Jump racing,18,Forlorn Orcs,"Lismore Turf Club, Lismore, New South Wales",19.11
Endurance racing,25,Autumn Nymphs,"Sunshine Coast Turf Club, Caloundra, Queensland",19.12
Harness racing,6,Sanguine Ghouls,"Ladbrokes Park, Melbourne, Victoria (formerly Sandown Racecourse)",19.14
Endurance racing,23,Broken Gorgons,"Ballarat Turf Club, Ballarat, Victoria",19.15
Jump racing,2,Forlorn Orcs,"Morphettville Racecourse, Adelaide, South Australia",19.16
Jump racing,4,Feral Oceanids,"Shoalhaven City Turf Club, Nowra, New South Wales",19.17
Flat racing,12,Arachnid Fairies,"Cranbourne Racecourse, Cranbourne, Victoria",19.17
Flat racing,25,Immortal Fiends,"Ladbrokes Park, Melbourne, Victoria (formerly Sandown Racecourse)",19.20
Flat racing,7,Shore Undine,"Newcastle Jockey Club, Newcastle, New South Wales",19.20
Flat racing,12,Copper Goblins,"Newcastle Jockey Club, Newcastle, New South Wales",19.20
Jump racing,17,Feral Oceanids,"Hamilton Racecourse, Hamilton, Victoria",19.20
Harness racing,21,Forest Angels,"Moe Racecourse, Moe, Victoria",19.20
Saddle Trotting,13,Forlorn Orcs,"Ballarat Turf Club, Ballarat, Victoria",19.22
Flat racing,9,Forest Angels,"Warwick Farm racecourse, Sydney, New South Wales",19.22
Saddle Trotting,1,Forlorn Orcs,"Callaghan Park, Rockhampton, Queensland",19.23
Jump racing,1,Arachnid Fairies,"Shoalhaven City Turf Club, Nowra, New South Wales",19.24
Harness racing,22,Immortal Fiends,"Randwick Racecourse, Sydney, New South Wales",19.24
Endurance racing,2,Forlorn Orcs,"Mornington Racecourse, Mornington, Victoria",19.25
Endurance racing,22,Arachnid Fairies,"Tamworth Jockey Club, Tamworth, New South Wales[4]",19.25
Flat racing,7,Arachnid Fairies,"Geelong Racecourse, Geelong, Victoria",19.26
Jump racing,14,Sanguine Ghouls,"Traralgon Racecourse, Traralgon, Victoria",19.27
Flat racing,7,Autumn Nymphs,"Terang Racecourse, Terang, Victoria",19.28
Endurance racing,12,Broken Gorgons,"Morphettville Racecourse, Adelaide, South Australia",19.30
Harness racing,4,Forlorn Orcs,"Warwick Farm racecourse, Sydney, New South Wales",19.30
Flat racing,15,Forlorn Orcs,"Cranbourne Racecourse, Cranbourne, Victoria",19.30
Saddle Trotting,8,Autumn Nymphs,"Canterbury Park Racecourse, Sydney, New South Wales",19.31
Flat racing,1,Autumn Nymphs,"Moe Racecourse, Moe, Victoria",19.33
Flat racing,11,Arachnid Fairies,"Kalgoorlie-Boulder Racing Club, Kalgoorlie, Western Australia",19.34
Saddle Trotting,7,Sanguine Ghouls,"Sunshine Coast Turf Club, Caloundra, Queensland",19.36
Flat racing,15,Immortal Fiends,"Moonee Valley Racecourse, Melbourne, Victoria",19.37
Endurance racing,15,Shore Undine,"Geelong Racecourse, Geelong, Victoria",19.38
Harness racing,25,Sanguine Ghouls,"Geelong Racecourse, Geelong, Victoria",19.38
Harness racing,14,Immortal Fiends,"Mornington Racecourse, Mornington, Victoria",19.40
Flat racing,1,Sanguine Ghouls,"Hamilton Racecourse, Hamilton, Victoria",19.41
Harness racing,8,Autumn Nymphs,"Bendigo Racecourse, Bendigo, Victoria",19.42
Jump racing,1,Forest Angels,"Tamworth Jockey Club, Tamworth, New South Wales[4]",19.42
Saddle Trotting,19,Broken Gorgons,"Warwick Farm racecourse, Sydney, New South Wales",19.46
Endurance racing,4,Forest Angels,"Cluden Racecourse, Townsville, Queensland",19.49
Harness racing,21,Forest Angels,"Warrnambool Racecourse, Warrnambool, Victoria",19.49
Endurance racing,21,Feral Oceanids,"Sale Racecourse, Sale, Victoria",19.50
Saddle Trotting,17,Forest Angels,"Wyong Race Club, Wyong, New South Wales",19.54
Jump racing,4,Broken Gorgons,"Albury Racing club, Albury, New South Wales",19.57
Jump racing,13,Immortal Fiends,"Thoroughbred Park (Canberra Racecourse), Canberra, Australian Capital Territory",19.57
Harness racing,20,Autumn Nymphs,"Dingo Racecourse, Dingo, Queensland",19.58
Endurance racing,18,Forest Angels,"Wagga Racecourse, Wagga Wagga, New South Wales[5]",19.59
Endurance racing,4,Copper Goblins,"Shoalhaven City Turf Club, Nowra, New South Wales",19.60
Jump racing,5,Feral Oceanids,"Clare Valley Racecourse, Clare, South Australia",19.70
Saddle Trotting,10,Forest Angels,"Sale Racecourse, Sale, Victoria",19.80
Jump racing,2,Feral Oceanids,"Thoroughbred Park (Canberra Racecourse), Canberra, Australian Capital Territory",19.90
Endurance racing,5,Autumn Nymphs,"Bairnsdale Racecourse, Bairnsdale, Victoria",20.10
Saddle Trotting,7,Immortal Fiends,"Randwick Racecourse, Sydney, New South Wales",20.10
Harness racing,9,Broken Gorgons,"Wodonga Racecourse, Wodonga, Victoria",20.11
Flat racing,2,Forest Angels,"Hawkesbury Race Club, Richmond, New South Wales",20.18
Endurance racing,2,Forest Angels,"Cluden Racecourse, Townsville, Queensland",20.20
Jump racing,12,Shore Undine,"Tamworth Jockey Club, Tamworth, New South Wales[4]",20.20
Jump racing,24,Forlorn Orcs,"Eagle Farm Racecourse, Brisbane, Queensland",20.25
Harness racing,4,Copper Goblins,"Rosehill Gardens Racecourse, Sydney, New South Wales",20.28
Endurance racing,7,Broken Gorgons,"The Entertainment Grounds, Gosford, New South Wales (formerly Gosford Race Club)",20.30
Endurance racing,17,Shore Undine,"Doomben Racecourse, Brisbane, Queensland",20.30
Jump racing,17,Sanguine Ghouls,"Caulfield Racecourse, Melbourne, Victoria",20.33
Jump racing,9,Arachnid Fairies,"Hawkesbury Race Club, Richmond, New South Wales",20.34
Saddle Trotting,8,Sanguine Ghouls,"Moe Racecourse, Moe, Victoria",20.35
Harness racing,17,Arachnid Fairies,"Newcastle Jockey Club, Newcastle, New South Wales",20.36
Endurance racing,4,Immortal Fiends,"Walcha Jockey Club, Walcha, New South Wales[6]",20.36
Jump racing,2,Forest Angels,"Randwick Racecourse, Sydney, New South Wales",20.36
Flat racing,1,Copper Goblins,"Belmont Park Racecourse, Perth, Western Australia",20.38
Harness racing,12,Sanguine Ghouls,"Callaghan Park, Rockhampton, Queensland",20.39
Harness racing,3,Immortal Fiends,"Albury Racing club, Albury, New South Wales",20.39
Flat racing,7,Copper Goblins,"Hawkesbury Race Club, Richmond, New South Wales",20.40
Endurance racing,24,Feral Oceanids,"Belmont Park Racecourse, Perth, Western Australia",20.42
Flat racing,3,Broken Gorgons,"Sale Racecourse, Sale, Victoria",20.43
Endurance racing,21,Autumn Nymphs,"Hawkesbury Race Club, Richmond, New South Wales",20.43
Jump racing,23,Arachnid Fairies,"Canterbury Park Racecourse, Sydney, New South Wales",20.45
Jump racing,24,Forest Angels,"Flemington Racecourse, Melbourne, Victoria",20.49
Jump racing,23,Arachnid Fairies,"Wagga Racecourse, Wagga Wagga, New South Wales[5]",20.51
Endurance racing,16,Broken Gorgons,"Clifford Park Racecourse, Toowoomba, Queensland",20.56
Jump racing,3,Immortal Fiends,"Kembla Grange Racecourse, Wollongong, New South Wales[3]",20.57
Endurance racing,4,Forest Angels,"Callaghan Park, Rockhampton, Queensland",20.57
Flat racing,8,Forlorn Orcs,"Callaghan Park, Rockhampton, Queensland",20.58
Jump racing,19,Copper Goblins,"Wodonga Racecourse, Wodonga, Victoria",20.59
Harness racing,24,Arachnid Fairies,"Wodonga Racecourse, Wodonga, Victoria",20.59
Endurance racing,1,Forlorn Orcs,"Lismore Turf Club, Lismore, New South Wales",20.60
Jump racing,12,Forest Angels,"Randwick Racecourse, Sydney, New South Wales",20.90
Flat racing,23,Arachnid Fairies,"The Entertainment Grounds, Gosford, New South Wales (formerly Gosford Race Club)",21.10
Harness racing,17,Arachnid Fairies,"Albury Racing club, Albury, New South Wales",21.12
Jump racing,4,Feral Oceanids,"Mornington Racecourse, Mornington, Victoria",21.13
Jump racing,25,Shore Undine,"Rosehill Gardens Racecourse, Sydney, New South Wales",21.14
Saddle Trotting,16,Sanguine Ghouls,"The Entertainment Grounds, Gosford, New South Wales (formerly Gosford Race Club)",21.15
Saddle Trotting,11,Shore Undine,"Flemington Racecourse, Melbourne, Victoria",21.15
Harness racing,25,Broken Gorgons,"Walcha Jockey Club, Walcha, New South Wales[6]",21.16
Saddle Trotting,5,Immortal Fiends,"Flemington Racecourse, Melbourne, Victoria",21.17
Endurance racing,2,Copper Goblins,"Wyong Race Club, Wyong, New South Wales",21.18
Flat racing,10,Forest Angels,"Wangaratta Racecourse, Wangaratta, Victoria",21.19
Harness racing,25,Arachnid Fairies,"Rosehill Gardens Racecourse, Sydney, New South Wales",21.19
Saddle Trotting,21,Autumn Nymphs,"Geelong Racecourse, Geelong, Victoria",21.19
Endurance racing,3,Copper Goblins,"Wyong Race Club, Wyong, New South Wales",21.19
Flat racing,8,Autumn Nymphs,"Wangaratta Racecourse, Wangaratta, Victoria",21.21
Jump racing,14,Forlorn Orcs,"Cluden Racecourse, Townsville, Queensland",21.21
Saddle Trotting,20,Forlorn Orcs,"Wyong Race Club, Wyong, New South Wales",21.22
Endurance racing,25,Forlorn Orcs,"Cluden Racecourse, Townsville, Queensland",21.24
Jump racing,3,Sanguine Ghouls,"Morphettville Racecourse, Adelaide, South Australia",21.27
Endurance racing,24,Feral Oceanids,"Warrnambool Racecourse, Warrnambool, Victoria",21.27
Endurance racing,25,Feral Oceanids,"Lismore Turf Club, Lismore, New South Wales",21.27
Flat racing,19,Copper Goblins,"Hamilton Racecourse, Hamilton, Victoria",21.30
Jump racing,12,Shore Undine,"The Entertainment Grounds, Gosford, New South Wales (formerly Gosford Race Club)",21.37
Saddle Trotting,3,Arachnid Fairies,"Ballarat Turf Club, Ballarat, Victoria",21.40
Jump racing,12,Arachnid Fairies,"Wodonga Racecourse, Wodonga, Victoria",21.40
Jump racing,16,Forlorn Orcs,"Wyong Race Club, Wyong, New South Wales",21.42
Endurance racing,24,Autumn Nymphs,"Wangaratta Racecourse, Wangaratta, Victoria",21.44
Saddle Trotting,8,Arachnid Fairies,"Eagle Farm Racecourse, Brisbane, Queensland",21.45
Flat racing,18,Forlorn Orcs,"Bairnsdale Racecourse, Bairnsdale, Victoria",21.50
Flat racing,11,Feral Oceanids,"Bendigo Racecourse, Bendigo, Victoria",21.58
Harness racing,24,Sanguine Ghouls,"Rosehill Gardens Racecourse, Sydney, New South Wales",21.58
Harness racing,22,Shore Undine,"Newcastle Jockey Club, Newcastle, New South Wales",21.58
Endurance racing,2,Feral Oceanids,"Mornington Racecourse, Mornington, Victoria",21.59
Endurance racing,7,Broken Gorgons,"Tamworth Jockey Club, Tamworth, New South Wales[4]",21.59
Endurance racing,20,Sanguine Ghouls,"Wangaratta Racecourse, Wangaratta, Victoria",21.59
Flat racing,8,Copper Goblins,"Canterbury Park Racecourse, Sydney, New South Wales",21.60
Flat racing,23,Arachnid Fairies,"Clifford Park Racecourse, Toowoomba, Queensland",21.70
Flat racing,21,Feral Oceanids,"Seymour Racing Club, Seymour, Victoria",22.14
Jump racing,4,Feral Oceanids,"Lismore Turf Club, Lismore, New South Wales",22.14
Endurance racing,10,Forest Angels,"Terang Racecourse, Terang, Victoria",22.17
Endurance racing,9,Shore Undine,"Sunshine Coast Turf Club, Caloundra, Queensland",22.18
Flat racing,8,Forest Angels,"Traralgon Racecourse, Traralgon, Victoria",22.20
Saddle Trotting,10,Immortal Fiends,"Hamilton Racecourse, Hamilton, Victoria",22.20
Jump racing,15,Copper Goblins,"Flemington Racecourse, Melbourne, Victoria",22.21
Endurance racing,8,Forlorn Orcs,"Doomben Racecourse, Brisbane, Queensland",22.21
Flat racing,19,Arachnid Fairies,"Ladbrokes Park, Melbourne, Victoria (formerly Sandown Racecourse)",22.21
Saddle Trotting,18,Forest Angels,"Randwick Racecourse, Sydney, New South Wales",22.23
Flat racing,25,Autumn Nymphs,"Lismore Turf Club, Lismore, New South Wales",22.24
Harness racing,16,Shore Undine,"Walcha Jockey Club, Walcha, New South Wales[6]",22.24
Harness racing,10,Forlorn Orcs,"Kalgoorlie-Boulder Racing Club, Kalgoorlie, Western Australia",22.28
Saddle Trotting,2,Forest Angels,"Seymour Racing Club, Seymour, Victoria",22.29
Saddle Trotting,20,Autumn Nymphs,"Canterbury Park Racecourse, Sydney, New South Wales",22.29
Jump racing,14,Copper Goblins,"Newcastle Jockey Club, Newcastle, New South Wales",22.30
Endurance racing,8,Arachnid Fairies,"Hawkesbury Race Club, Richmond, New South Wales",22.30
Endurance racing,22,Immortal Fiends,"Clifford Park Racecourse, Toowoomba, Queensland",22.30
Flat racing,13,Forest Angels,"Walcha Jockey Club, Walcha, New South Wales[6]",22.32
Endurance racing,13,Copper Goblins,"Eagle Farm Racecourse, Brisbane, Queensland",22.34
Flat racing,19,Broken Gorgons,"Doomben Racecourse, Brisbane, Queensland",22.36
Flat racing,20,Copper Goblins,"Kalgoorlie-Boulder Racing Club, Kalgoorlie, Western Australia",22.37
Jump racing,22,Broken Gorgons,"Geelong Racecourse, Geelong, Victoria",22.38
Harness racing,16,Immortal Fiends,"Kalgoorlie-Boulder Racing Club, Kalgoorlie, Western Australia",22.40
Endurance racing,11,Shore Undine,"Balnarring Racecourse, Balnarring, Victoria",22.40
Harness racing,7,Forest Angels,"Wodonga Racecourse, Wodonga, Victoria",22.40
Saddle Trotting,24,Forest Angels,"Wodonga Racecourse, Wodonga, Victoria",22.42
Saddle Trotting,11,Sanguine Ghouls,"Ladbrokes Park, Melbourne, Victoria (formerly Sandown Racecourse)",22.43
Flat racing,17,Forlorn Orcs,"Warrnambool Racecourse, Warrnambool, Victoria",22.44
Flat racing,4,Autumn Nymphs,"Moonee Valley Racecourse, Melbourne, Victoria",22.47
Saddle Trotting,23,Immortal Fiends,"Shoalhaven City Turf Club, Nowra, New South Wales",22.52
Saddle Trotting,15,Sanguine Ghouls,"Canterbury Park Racecourse, Sydney, New South Wales",22.52
Saddle Trotting,8,Sanguine Ghouls,"Seymour Racing Club, Seymour, Victoria",22.52
Flat racing,24,Broken Gorgons,"Canterbury Park Racecourse, Sydney, New South Wales",22.55
Saddle Trotting,13,Arachnid Fairies,"Shoalhaven City Turf Club, Nowra, New South Wales",22.60
Harness racing,5,Forest Angels,"Randwick Racecourse, Sydney, New South Wales",22.60
Harness racing,8,Shore Undine,"Mornington Racecourse, Mornington, Victoria",22.70
Endurance racing,18,Copper Goblins,"Wagga Racecourse, Wagga Wagga, New South Wales[5]",22.70
Jump racing,10,Autumn Nymphs,"Sale Racecourse, Sale, Victoria",22.70
Flat racing,21,Arachnid Fairies,"Canterbury Park Racecourse, Sydney, New South Wales",22.90
Flat racing,1,Feral Oceanids,"Cluden Racecourse, Townsville, Queensland",23.14
Jump racing,18,Forest Angels,"Albury Racing club, Albury, New South Wales",23.14
Harness racing,9,Forlorn Orcs,"Tamworth Jockey Club, Tamworth, New South Wales[4]",23.24
Flat racing,10,Shore Undine,"Ascot Racecourse, Perth, Western Australia",23.25
Endurance racing,15,Forest Angels,"Mornington Racecourse, Mornington, Victoria",23.27
Saddle Trotting,16,Broken Gorgons,"Tamworth Jockey Club, Tamworth, New South Wales[4]",23.29
Endurance racing,6,Arachnid Fairies,"Balnarring Racecourse, Balnarring, Victoria",23.29
Saddle Trotting,6,Sanguine Ghouls,"Warwick Farm racecourse, Sydney, New South Wales",23.30
Jump racing,9,Arachnid Fairies,"Caulfield Racecourse, Melbourne, Victoria",23.31
Saddle Trotting,22,Immortal Fiends,"Cluden Racecourse, Townsville, Queensland",23.32
Harness racing,17,Forest Angels,"Ascot Racecourse, Perth, Western Australia",23.33
Harness racing,21,Forlorn Orcs,"Rosehill Gardens Racecourse, Sydney, New South Wales",23.36
Endurance racing,7,Forest Angels,"Kembla Grange Racecourse, Wollongong, New South Wales[3]",23.36
Endurance racing,24,Broken Gorgons,"Sunshine Coast Turf Club, Caloundra, Queensland",23.38
Jump racing,16,Copper Goblins,"Kalgoorlie-Boulder Racing Club, Kalgoorlie, Western Australia",23.39
Harness racing,23,Immortal Fiends,"Belmont Park Racecourse, Perth, Western Australia",23.40
Flat racing,24,Forlorn Orcs,"Hawkesbury Race Club, Richmond, New South Wales",23.40
Harness racing,14,Arachnid Fairies,"Wagga Racecourse, Wagga Wagga, New South Wales[5]",23.41
Flat racing,18,Sanguine Ghouls,"Wyong Race Club, Wyong, New South Wales",23.41
Flat racing,21,Forlorn Orcs,"Warwick Farm racecourse, Sydney, New South Wales",23.41
Harness racing,12,Copper Goblins,"Warrnambool Racecourse, Warrnambool, Victoria",23.41
Harness racing,17,Autumn Nymphs,"Canterbury Park Racecourse, Sydney, New South Wales",23.43
Flat racing,4,Forlorn Orcs,"Callaghan Park, Rockhampton, Queensland",23.44
Flat racing,12,Shore Undine,"Bairnsdale Racecourse, Bairnsdale, Victoria",23.44
Harness racing,12,Sanguine Ghouls,"Balnarring Racecourse, Balnarring, Victoria",23.44
Flat racing,19,Copper Goblins,"Bairnsdale Racecourse, Bairnsdale, Victoria",23.47
Endurance racing,8,Forest Angels,"Eagle Farm Racecourse, Brisbane, Queensland",23.48
Jump racing,4,Immortal Fiends,"Bairnsdale Racecourse, Bairnsdale, Victoria",23.48
Saddle Trotting,15,Sanguine Ghouls,"Sale Racecourse, Sale, Victoria",23.48
Saddle Trotting,25,Feral Oceanids,"Warrnambool Racecourse, Warrnambool, Victoria",23.50
Endurance racing,12,Feral Oceanids,"Balnarring Racecourse, Balnarring, Victoria",23.53
Jump racing,2,Forlorn Orcs,"Hamilton Racecourse, Hamilton, Victoria",23.55
Saddle Trotting,20,Shore Undine,"Moonee Valley Racecourse, Melbourne, Victoria",23.55
Jump racing,25,Autumn Nymphs,"Cranbourne Racecourse, Cranbourne, Victoria",23.56
Flat racing,25,Arachnid Fairies,"Kalgoorlie-Boulder Racing Club, Kalgoorlie, Western Australia",23.58
